//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 936051
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00936051;1;01/01/1946;1;11,8;29,9;31;5;1;1;0;406,2;1;0;6,3;0;0;0;0,6;0;0;2,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,3;11,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00936051;1;01/02/1946;1;0;0;1;;1;1;0;406,2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00936051;1;01/03/1946;1;5,3;6,6;6;2;1;1;0;406,2;1;0;0;0;0;0;5,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,3;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00936051;1;01/04/1946;1;11,5;35;25;7;1;1;0;406,2;1;0;0;0;0;0;0;3,3;0;0;1,3;2,4;3,5;0;0;0;0;0;0;0;0;0;0;0;7,8;11,5;5,2;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00936051;1;01/05/1946;1;30,3;76;21;12;1;1;0;406,2;1;0;0;0;0;0;0;0;0;1,7;5,2;0,8;12;0;5,5;0;0;0;0;0;0;30,3;2,3;8,6;0;0;3;2,3;3;0;0;1,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00936051;1;01/06/1946;1;19,8;90,9;15;15;1;1;0;406,2;1;1,2;8,4;0;0;0;5,8;0;0;0;3,3;3,1;6,2;0;10,1;19,8;0;0;0;9,8;0,8;0;0;0,8;4;8,8;0;5,1;0;0;3,7;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00936051;1;01/07/1946;1;15,8;85,8;30;13;1;1;0;406,2;1;0;0;1,9;0;0;0;0;0;2,3;0;0;0,8;6,4;0;0;3,2;10,8;5,3;6,8;0;0;0;0;0;0;0;5,3;12,5;8,3;15,8;6,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00936051;1;01/08/1946;1;9,8;41,6;15;6;1;1;0;406,2;1;7,3;0;0;0;5,6;0;0;0;4,7;0;8,9;0;0;0;9,8;0;0;0;0;0;0;0;0;0;0;5,3;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00936051;1;01/09/1946;1;8,9;25,2;19;5;1;1;0;406,2;1;0;0;0;0;0;0;0;0;0;0;0;3,8;0;5,6;2,3;4,6;0;0;8,9;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00936051;1;01/10/1946;1;3,1;3,1;23;1;1;1;0;406,2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
