//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 1036062
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
01036062;1;01/08/1989;1;;90,7;;;0;1;0;;0;;;;;;;;;;;;;;;;;0,2;0;22,2;0;4;0,6;6,5;5,9;13,5;0,7;0,1;3;6,1;20,6;7,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
01036062;1;01/09/1989;1;22,7;73,4;20;21;1;1;0;;0;3,1;0;0;0,3;1,7;1,9;1,3;0,8;4,2;0,7;0;1,6;0,1;0,1;0;0;0;0;6;22,7;1;5;13,8;1,5;4,4;0;2,4;0,6;0,2;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
01036062;1;01/10/1989;1;45,7;87,4;22;6;1;1;0;;0;0;0;1,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36,9;45,7;0,1;0;0,4;2,9;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
01036062;1;01/11/1989;1;11,7;30,4;19;5;1;1;0;;0;0;0;0;0;0;0;0;7,6;0;0;0;0;0;0;0;0;0;0;11,7;2,2;0;8,3;0,6;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
01036062;1;01/12/1989;1;37,1;149;21;18;1;1;0;;0;0;0;18,3;25;0;0;0;3,1;14,7;0;0;5;0;0;0;0;0;3,4;3,1;23;37,1;2,9;1;2,1;0,6;1;4,3;2,5;1;0;0,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
01036062;1;01/01/1990;1;13,5;16,2;31;2;1;1;0;1354,5;1;0;0;0;0;0;2,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
01036062;1;01/02/1990;1;21,1;33,5;1;6;1;1;0;1354,5;1;21,1;2,1;0;1,9;2,4;2,9;3,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
01036062;1;01/03/1990;1;11,5;25,5;20;6;1;1;0;1354,5;1;1,2;5,1;3,9;2,1;0;0;0;0;0;0;1,7;0;0;0;0;0;0;0;0;11,5;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
01036062;1;01/04/1990;1;34,2;178,1;22;17;1;1;0;1354,5;1;0;0;0;4,2;0;0;0;0;7,6;0;0;0;0;3,7;0;1,2;11,2;0,9;6,6;3,4;0;34,2;29,5;13,6;6,9;4,2;16,8;25,8;0,2;8,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
01036062;1;01/05/1990;1;69,7;238,7;25;19;1;1;0;1354,5;1;33,3;0;0,2;0;2,6;10,5;26,1;0;2,2;2;1,2;0,2;0;0,3;5,5;59,6;0;0;0;0;0;1;0;3,5;69,7;0;4,8;8,7;0;5,4;1,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
