//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 937018
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00937018;1;01/01/1935;1;13,2;33,5;15;5;1;1;0;824,2;1;0;1,4;1,8;0;0;0;0;0;0;0;0;0;0;0;13,2;0;0;0;0;0;0;0;0;0;5,4;11,7;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;1;01/02/1935;1;66,2;103,2;9;6;1;1;0;824,2;1;10,6;0;0;0;0;9;0;0;66,2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;12,2;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00937018;1;01/03/1935;1;65,4;106,7;21;7;1;1;0;824,2;1;0;0;0;0;0;0;0;3,6;0;0;5;0;0;12,5;2,8;10;0;0;0;0;65,4;7,4;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;1;01/04/1935;1;10,2;30,4;18;8;1;1;0;824,2;1;0;0;5,8;2;0;0;0;0,2;0;0;0;0;0;0;0;0;0;10,2;1,6;8,2;2,2;0;0;0;0;0;0;0;0;0,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;1;01/05/1935;1;23,2;161,7;6;18;1;1;0;824,2;1;0;1,2;0;2,4;0;23,2;18,1;3,6;6,8;0;0;0;4,2;21,3;3,8;0;9,3;21,2;4;0;0;0;0;0;4,4;17,2;16,3;0;2,6;1,2;0,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;1;01/06/1935;1;63,8;189,9;22;20;1;1;0;824,2;1;2,3;0;2,6;14,7;0;4,3;2,2;0;0;3,3;4;0;2,3;0,5;0;0;8,4;0,4;0;0;4,9;63,8;16,2;1,8;9,6;4,4;38,2;3,4;2,6;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;1;01/07/1935;1;14;58,7;5;18;1;1;0;824,2;1;0;0,6;0;0,3;14;7,5;3,2;8,7;0,9;0;0;0;1,8;0,8;5,7;3,7;0,6;0,7;0,4;0,2;0;3,7;4,4;1,5;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;1;01/08/1935;1;21;131,6;16;26;1;1;0;824,2;1;0;0;0,3;0;3,4;8,5;0,3;5,2;5,3;3,8;2,6;1,1;7,5;5,1;0,5;21;13,4;11;3,3;7,2;7,1;0;2,1;0,3;10,6;2,2;0,8;0,6;0;8,1;0,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;1;01/09/1935;1;2,3;4;22;4;1;1;0;824,2;1;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0,6;0;2,3;0,7;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;1;01/10/1935;1;0,5;0,5;15;1;1;1;0;824,2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
