//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 937023
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00937023;1;01/03/1936;1;39,8;46,3;7;2;1;1;0;396,7;1;0;6,5;0;0;0;0;39,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/04/1936;1;23;57;22;8;1;1;0;396,7;1;0;0;0;0;2;0;0;13,5;1;0;1,2;0;0;0;0;0;0;10,8;3,5;0;0;23;0;0;0;0;0;0;0;2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/05/1936;1;5,5;14,3;8;5;1;1;0;396,7;1;0;0;0;0;0;5;0;5,5;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1,5;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/06/1936;1;24,5;107,5;18;17;1;1;0;396,7;1;0;1,5;11,5;14,7;0;1,4;0;2,6;5,8;0;0;1,8;6,5;7,1;0;0;2,2;24,5;10,5;0;0;0;0;9,4;0;1,8;0;2,5;2,8;0,9;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/07/1936;1;23,8;76,4;10;13;1;1;0;396,7;1;0;0;0;7,8;3,1;1,1;0;0;2,5;23,8;8,5;0;0;6,1;0;0;0;0;0;0;4;2;5;5,3;0;2,2;5;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/08/1936;1;3;13,3;16;8;1;1;0;396,7;1;1;0;1,5;1;0;0;0;0;0;0;1;0;1;2;2,8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/09/1936;1;3,2;3,2;12;1;1;1;0;396,7;1;0;0;0;0;0;0;0;0;0;0;0;3,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/10/1936;1;0;0;1;0;1;1;1;396,7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/11/1936;1;5,3;9,3;16;2;1;1;0;396,7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/12/1936;1;3,3;3,3;9;1;1;1;0;396,7;1;0;0;0;0;0;0;0;0;3,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/01/1937;1;12,8;18;31;3;1;1;0;425,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;2,7;0;12,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/02/1937;1;10,6;13,4;6;2;1;1;0;425,8;1;0;0;0;0;0;10,6;0;0;2,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00937023;1;01/03/1937;1;36,4;58,2;31;5;1;1;0;425,8;1;0;0;0;0;0;0;0;4;3,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,5;6,1;0;36,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/04/1937;1;21,6;43,2;2;3;1;1;0;425,8;1;0;21,6;0;0;0;0;0;0;0;0;0;0;0;8,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/05/1937;1;25;121,6;5;11;1;1;0;425,8;1;16;0;21,6;0;25;0;0;0;0;0;0;0;5,8;14,2;4;0;16,8;10,7;0;0;0;0;1,8;0;0;3,7;2;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/06/1937;1;24,8;74;23;16;1;1;0;425,8;1;0;0;0;0;6;0;0;2,4;7,2;8,5;2;0;2;2,5;1,3;1,3;0;1;0;1;0;0;24,8;3,5;0;0;7,2;2,1;0;1,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/07/1937;1;9,3;48,8;13;9;1;1;0;425,8;1;0;0;0;0;4,4;6,2;2;4,2;0;0;0;0;9,3;3;0;0;0;0;0;0;0;0;8,5;0;0;5,2;0;0;6;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/08/1937;1;23,7;45,5;29;8;1;1;0;425,8;1;0;0;0;0;0;0;0;2;0;0;8,5;0;0;0;3,7;0;3;0;0;0;0,7;0;0;0;0;0;0;2,7;23,7;1,2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/09/1937;1;2,6;3,1;21;2;1;1;0;425,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;2,6;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/10/1937;1;0;0;1;0;1;1;1;425,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/11/1937;1;0;0;1;0;1;1;1;425,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/12/1937;1;0;0;1;0;1;1;1;425,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/01/1938;1;2,1;3,4;9;2;1;1;0;279,9;1;0;0;0;0;0;0;1,3;0;2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/02/1938;1;10;16,9;15;3;1;1;0;279,9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2,7;0;0;0;0;4,2;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00937023;1;01/03/1938;1;23,1;70,5;3;10;1;1;0;279,9;1;14,2;16;23,1;0;0;0;0;0;0;0;0,1;0;1,5;0;0;0;11,5;0;0;0,2;3,5;0;0,1;0;0;0;0;0,3;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/04/1938;1;11;32;22;11;1;1;0;279,9;1;1;0;0;6;0;0;0;0;0;0;0;0;8,8;0;0;0;0;3;0,2;0,3;1;11;0,2;0;0;0,2;0,3;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/05/1938;1;34;85,9;16;13;1;1;0;279,9;1;0;0;0,3;30,2;7;0;0;0,3;2;0;0;0,2;0;0;2;34;0;0;0;0;0,3;0;0;0;0,1;0,3;0;0,2;9;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/06/1938;1;9,4;30;13;9;1;1;0;279,9;1;0;0;0,3;4;2;0;0,2;3,9;0;0;0;0;9,4;5,2;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
